SHIP'S NAME,VESSEL TYPE,WHERE BUILT,YEAR LOST,LOCATION LOST,LATITUDE,LONGITUDE,CONSTRUCTION,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,SHIP VALUE,CARGO VALUE
Sudie Wayman,Schooner,"St Michaels, MD",1899,Atlantic City LSS S 1 mi,39.35679,-74.42002,,61.5,20.5,5,37,,1500.00,500.00
Suffolk,Freighter,"Camden, NJ",1943,"Montauk, NY SE 75 mi",40.71666,-71.96666,,0,0,0,0,,0.00,0.00
Sumner USS,Troop transport,"Hamburg, Germany",1916,Barnegat Shoal E 1 mi,39.75862,-74.08690,Steel,351.1,43,26,3458,2182,0.00,0.00
Sunbeam (1894),Schooner,"Tuckerton, NJ",1894,Brigantine Shoal,39.43156,-74.32317,,46.3,17.6,4.3,22.16,21.05,1000.00,50.00
Sunrise,Sailing ship,,1889,Delaware Bay entrance,38.88333,-75.03333,,0,0,0,0,,0.00,0.00
Susan H Richie,Schooner 3 masted,"East Boston, MA",1894,Bayhead LSS NE .25 mi,40.06842,-74.03943,,158,35.8,12.8,540.54,513.57,10000.00,5500.00
Sutton,Freighter,"Glasgow, Scotland",1900,Fenwick Shoal,38.45777,-74.93916,,0,0,0,0,,0.00,0.00
Swiftscout,Tanker,"Portland, OR",1945,Cape May E 125 mi,37.50000,-73.05000,,0,0,0,0,,0.00,0.00
T C Lyman,Schooner,"Westbrook, CT",1875,Bonds LSS S 1.5 mi,39.51894,-74.27769,Wood,90,25,7.5,83,,4000.00,4000.00
Tartar (1915),Schooner,,1915,Brigantine Beach,39.44577,-74.31546,Wood,0,0,0,126,,12500.00,0.00
Terasto,Brig,,1839,"Surf City, NJ",39.65873,-74.16397,Wood,0,0,0,0,,0.00,0.00
Texas Tower #4,Radar Platform,"South Portland, ME",1961,Barnegat Light E 66 mi,39.80666,-72.67222,Steel,155,0,0,4300,,9000000.00,0.00
Texel,Steamship,"Rotterdam, Denmark",1918,Two Mile Beach E 73 mi,39.02194,-73.11472,,0,0,0,0,,0.00,0.00
Thistle,Privateer,,1813,Squan Inlet N .5 mi,40.10098,-74.03054,,200,0,0,0,,0.00,0.00
Thomas Corwin,Bark,,1854,,39.16666,-74.00000,,0,0,0,0,,0.00,0.00
Thomas Hebert,Tug,"Orange, TX",1993,Manasquan Inlet SE 35 mi,39.79360,-73.50274,Steel,94,27,7,99,69,800000.00,0.00
Thomas Tracy (1944),Tanker,"Ashtabula, OH",1944,"Rehoboth Beach, DE",38.70000,-74.06666,,0,0,0,0,,0.00,0.00
Three Sisters (1891),Sloop,,1891,Sandy Hook LSS SE,40.46814,-73.98588,,0,0,0,0,,0.00,0.00
Tolten,Freighter,"Aalborg, Denmark",1942,Seaside Park E 13 mi,39.93018,-73.82701,Steel,280.7,43.6,17.5,1858,,0.00,0.00
Transmarine #122,Barge,"Newark, NJ",1942,Cold Spring Inlet E 1.6 mi,38.92500,-74.83333,,0,0,0,0,,0.00,0.00
Tremlet,Schooner,,1856,Barnegat Inlet,39.76247,-74.07531,,0,0,0,0,,0.00,0.00
Tropic,Brig,"Church Point, NS",1880,Long Beach LSS N 1 mi,39.59621,-74.21083,,91,25.3,10,157,,8000.00,4000.00
Truro,Schooner - Barge,"Bath, ME",1934,Barnegat Lightship N,39.89388,-73.92833,,0,0,0,0,,0.00,0.00
Tsernogora,Ship,"Plymouth, NS",1886,Spring Lake LSS S 1 mi,40.13388,-74.01750,,194.5,38.3,22.8,1252,,30000.00,8925.00
Tugboat Wreck,Barge,,1944,Barnegat Light E 6 mi,39.75809,-73.98579,,0,0,0,0,,0.00,0.00
Turner USS,Destroyer,"Kearny, NJ",1944,Sandy Hook E 6.5 mi,40.49333,-73.87166,Steel,348.5,36,10,1630,,0.00,0.00
U-550,Submarine (U boat),"Hamburg, Germany",1944,Ambrose Light E 200 mi,40.15000,-69.73333,Steel,252,22.3,15.3,1232,,0.00,0.00
U-853,Submarine (U boat),"Bremen, Germany",1945,"Block Island, RI E 7 mi",41.22138,-71.41388,,0,0,0,0,,0.00,0.00
U-869,Submarine (U boat),"Bremen, Germany",1945,Manasquan Inlet E 65 mi,39.54888,-73.33222,Steel,252,22.8,15.3,1232,,0.00,0.00
Undaunted,Schooner - Barge,"Bath, ME",1913,Forked River LSS NE 1 mi,39.81391,-74.07796,,207.5,41.1,14.3,1768,1729,35000.00,7150.00
Underwriter,Passenger liner,"New York, NY",1854,Squan Inlet S 4.5 mi,40.02833,-74.05,Wood,103,37.2,30.5,1168,,85000.00,150000.00
Urbanus Dart,Steamship,"Brunswick, GA",1909,Sandy Hook LSS N 800 yds,40.47702,-74.00116,Wood,61.5,16.8,6.1,42,21,3500.00,0.00
Valchem,Oil tanker,"Chester, PA",1959,Atlantic City E 20 mi,39.38055,-73.99722,,504.2,68.2,39.2,10416,8310,0.00,0.00
Valparaiso,Barge,,1940,Manasquan Inlet ESE 3 mi,40.04507,-73.99277,Wood,0,0,0,4979,,0.00,0.00
Varanger,Tanker,"Amsterdam, Netherland",1942,Hereford Inlet E 32.5 mi,39.00833,-74.08333,Steel,470.1,60.2,33.5,9305,5505,0.00,0.00
Vega,Ferry boat/barge,"Port Richmond, NY",1961,Shark River Breakwater,40.20000,-73.95000,Steel,61.9,38.9,8,84,57,0.00,0.00
Veloz,Brig,,1881,Point Pleasant LSS N,40.06955,-74.04025,,0,0,0,145,,3500.00,0.00
Venezuela,Steamship,"Philadelphia, PA",1892,Brigantine Shoal,39.42533,-74.31836,Steel,303.6,40.2,20.5,2843,2037.49,300000.00,550000.00
Venus,Barge,,1894,,37.50000,-75.00000,,0,0,0,0,,0.00,0.00
Venus (1778),Merchantman,,1778,Little Egg Harbor Mullica River,39.54964,-74.41561,,0,0,0,0,,0.00,100000.00
Vestris,Passenger cargo ship,"Belfast, Ireland",1928,"Hampton Roads, VA E 200 mi",37.63333,-70.38333,,0,0,0,0,,0.00,0.00
Vienna ,Sloop,"Deep River, CT",1884,Little Beach LSS ENE 3 mi,39.47132,-74.26790,,39,18,5,21.15,20.09,1000.00,250.00
Viking II,Fishing Vessel,,2012,Cape May SE 75 mi,38.40194,-73.24333,,0,0,0,0,,0.00,0.00
Vista,Schooner,,1854,Brigantine Beach South End,39.38341,-74.38831,,0,0,0,0,,0.00,0.00
Viva,Yacht steam,"Bristol, RI",1908,Atlantic City LSS E .5 mi,39.36675,-74.40454,,75.1,13,7.8,38,,10000.00,0.00
Vizcaya,Passenger cargo ship,"London, England",1890,Barnegat Inlet E 8 mi,39.78777,-73.92583,Iron,287,38,27,2458,1388,400000.00,350000.00
Volga,Schooner,,1844,,39.00000,-70.00000,,0,0,0,0,,0.00,0.00
W C Davoll,Schooner,"Camden, NJ",1865,Seven Mile Beach,39.06766,-74.35046,,0,0,10,299,,0.00,0.00
W J Stairs,Bark,"Maitland, NS",1882,Long Branch LSS N 1 mi,40.28888,-73.97222,Wood,189,33.2,22,1062,,30000.00,7000.00
W L Steed,Oil tanker,"Quincy, MA",1942,Fenwick Island E 80 - 90 mi,38.43055,-73.45445,Steel,431.1,56,32.9,6182,,0.00,0.00
Wallace M French,Schooner,"Bass River, NJ",1884,Forked River LSS S 2 mi,39.77451,-74.09521,,44,17,4,23,22.03,1000.00,0.00
Washington (1871A),Schooner,,1871,Great Egg Harbor bar,39.29688,-74.54440,,0,0,0,0,,2800.00,800.00
Washingtonian,Freighter steam,"Sparrow Point, MD",1915,Fenwick Island Lightship E 13 mi,38.45694,-74.80893,,0,0,0,0,,0.00,0.00
Watchman,Schooner,,1860,Great Egg Harbor bar,39.28578,-74.53324,,0,0,0,0,,0.00,0.00
Water Lily,Sloop,,1882,South Brigantine Beach,39.38560,-74.36569,,0,0,0,0,,0.00,0.00
Wave (1864),Brig,"Cornwallis, NS",1864,Hereford Shoal,39.02111,-74.78157,Wood,91.1,24,13.4,210,,0.00,0.00
Wayne (1932),Schooner - Barge,"Pokomoke City, MD",1932,Townsends Inlet E 4 mi,39.08333,-74.62500,Wood,184.6,23.9,11.2,436,421,18000.00,5000.00
Wellington,Steamship,"Port Richmond, NY",1926,Brigantine Shoal SE 4.5 mi,39.44666,-74.21333,Steel,126,27,15.8,334,227,0.00,0.00
West Chester,Steamship,,1877,Corsons Inlet,39.20337,-74.64886,,0,0,0,0,,0.00,0.00
West Jersey,Paddlewheel Steam ferry,"Camden, NJ",1885,Toms River LSS S 7 mi,39.83546,-74.08535,,0,0,0,380,280.51,5000.00,0.00
Western World,Packet ship,"Portsmouth, NH",1853,Squan Beach E 400yds,40.15000,-74.01557,Wood,183,40,20,1354,,0.00,0.00
Wethea,Motor vessel,"Port Clinton, OH",1945,Corsons Inlet E 5 mi,39.19666,-74.51666,,73.5,14.8,7.1,63,,0.00,0.00
William B Diggs (1934),Barge,"Bath, ME",1934,Cape May Inlet E 8 mi,38.94138,-74.69888,,0,0,0,0,,0.00,0.00
William C May,Schooner,,1920,,32.40000,-71.50000,,0,0,0,0,,0.00,0.00
William C Wickham,Schooner,"Milford, DE",1882,Brigantine Shoal,39.42135,-74.33004,Wood,131.6,32.6,10.7,329.82,,25000.00,30000.00
William H Conner,Schooner - Barge,"Searsport, ME",1909,Sandy Hook LSS ENE 3 mi,40.48877,-73.94760,Wood,210,40,24,1514,,35000.00,5365.00
William H Davenport,Schooner,"Phillipsburg, ME",1894,Brigantine Beach outer bar,39.36616,-74.38882,,123.5,30.5,8.6,256.17,243.37,16000.00,1500.00
William H Mills (1881),Sloop,,1881,Sandy Hook LSS E 1 mi,40.47023,-73.98039,Wood,0,0,0,11.83,,800.00,450.00
William McGee,Schooner,"Somerset County, MD",1908,Sea Isle City LSS SSE 1.5 mi,39.14207,-74.67401,,82,23.5,7.5,85,81,1500.00,1100.00
William Paxton,Schooner,"Wilmington, DE",1866,Seven Mile Beach,39.09077,-74.71424,Wood,105,26.4,8,222,,0.00,0.00
William Tice,Schooner,"Camden, NJ",1884,Absecon Inlet North shoal,39.37018,-74.39822,,0,0,0,191.25,,6000.00,0.00
Winneconne,Freighter,"Sunderland, England",1918,Brigantine E 72 mi,39.43888,-70.83333,,0,0,0,0,,0.00,0.00
Winstead,Barge,,1927,Bay Head E 3 mi,40.06626,-73.98574,,0,0,0,0,,0.00,0.00
Yankee,Freighter steam,"Cleveland, OH",1919,Monmouth Beach E 35 mi,40.33333,-73.27500,Steel,296.2,40.4,21.1,2418,1793,0.00,0.00
YP-387,Patrol boat,,1942,Hereford Inlet E 6.5 mi,39.02083,-74.57166,,0,0,0,105,,0.00,0.00
YRB - 9,Barge,,1956,Cape May 5 Fathom Beach N 1.5 mi,38.85944,-74.61805,,0,0,0,0,,0.00,0.00
Yum Chi,Ship,,1848,Little Egg Harbor Inlet,39.49298,-74.28779,,0,0,0,420,,0.00,2700.00
Zetland,Brig,Nova Scotia,1881,Beasleys LSS SW 2 mi,39.26269,-74.59155,,112.2,29,12.5,288,237,10000.00,5000.00
ZPG - 3W,Blimp,"Akron, OH",1960,Barnegat E 16 mi,39.68333,-73.80000,,0,0,0,0,,0.00,0.00
